"TIME","GEO","S_ADJ","AGE","SEX","Value","Flag and Footnotes"
"1986","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1987","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1988","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1989","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1990","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1991","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1992","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1993","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1994","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1995","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1996","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1997","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1998","Latvia","Not seasonally adjusted data","Total","Total","14.3",""
"1999","Latvia","Not seasonally adjusted data","Total","Total","14.0",""
"2000","Latvia","Not seasonally adjusted data","Total","Total","13.7",""
"2001","Latvia","Not seasonally adjusted data","Total","Total","12.9",""
"2002","Latvia","Not seasonally adjusted data","Total","Total","12.8",""
"2003","Latvia","Not seasonally adjusted data","Total","Total","11.3",""
"2004","Latvia","Not seasonally adjusted data","Total","Total","11.2",""
"2005","Latvia","Not seasonally adjusted data","Total","Total","9.6",""
"2006","Latvia","Not seasonally adjusted data","Total","Total","7.3",""
"2007","Latvia","Not seasonally adjusted data","Total","Total","6.5",""
"2008","Latvia","Not seasonally adjusted data","Total","Total","8.0",""
"2009","Latvia","Not seasonally adjusted data","Total","Total","18.2",""
"2010","Latvia","Not seasonally adjusted data","Total","Total","19.8",""
"2011","Latvia","Not seasonally adjusted data","Total","Total","16.2",""
"2012","Latvia","Not seasonally adjusted data","Total","Total","14.9",""
"1983","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1984","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1985","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1986","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1987","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1988","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1989","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1990","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1991","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1992","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1993","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1994","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1995","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1996","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1997","Lithuania","Not seasonally adjusted data","Total","Total",":",""
"1998","Lithuania","Not seasonally adjusted data","Total","Total","13.2",""
"1999","Lithuania","Not seasonally adjusted data","Total","Total","14.6",""
"2000","Lithuania","Not seasonally adjusted data","Total","Total","16.4",""
"2001","Lithuania","Not seasonally adjusted data","Total","Total","17.4","s"
"2002","Lithuania","Not seasonally adjusted data","Total","Total","13.8","s"
"2003","Lithuania","Not seasonally adjusted data","Total","Total","12.4","s"
"2004","Lithuania","Not seasonally adjusted data","Total","Total","11.3","s"
"2005","Lithuania","Not seasonally adjusted data","Total","Total","8.0","s"
"2006","Lithuania","Not seasonally adjusted data","Total","Total","5.2","s"
